x1,x2,x3,x4,x5,x6
200000000000.0,0.4771827,5e-06,5.0,50.0,396261.0868342848
200000000000.0,0.4771827,5e-06,5.0,50.0,400530.49947289197
200000000000.0,0.4771827,5e-06,5.0,50.52901653313807,401110.48175414675
200000000000.0,0.4771827,5e-06,5.0,51.818971232664566,402723.64680817694
200000000000.0,0.4771827,5e-06,5.0,50.0,414602.6972326444
200000000000.0,0.4771827,5e-06,5.0,50.806607559967524,398981.1498394627
200000000000.0,0.4771827,5e-06,5.0,51.27282583917107,403148.2679029209
200000000000.0,0.4771827,5e-06,5.0,51.69696926073553,405075.10474162444
200000000000.0,0.4771827,5e-06,5.0,51.11032389091998,412562.1875466862
200000000000.0,0.4771827,5e-06,5.0,50.0,407674.66694315657
200000000000.0,0.4771827,5e-06,5.0,50.0,395470.0879393156
200000000000.0,0.4771827,5e-06,5.0,51.467363875905484,413888.1595176332
200000000000.0,0.4771827,5e-06,5.0,50.0,411535.8191988676
200000000000.0,0.4771827,5e-06,5.0,50.76092048002569,408306.13412899396
200000000000.0,0.4771827,5e-06,5.0,50.0,398601.00849625486
200000000000.0,0.4771827,5e-06,5.0,50.358116775752755,404026.3759428078
200000000000.0,0.4771827,5e-06,5.0,50.0,406294.290323315
200000000000.0,0.4771827,5e-06,5.0,50.130979884266544,408954.1802090203
200000000000.0,0.4771827,5e-06,5.0,50.0,410468.23726038006
200000000000.0,0.4771827,5e-06,5.0,50.0,397581.6581960981
205000000000.0,0.4671827,5e-06,6.0,50.0,404901.0
200000000000.0,0.4871827,5e-06,5.0,50.0,404901.0
203000000000.0,0.4821827,5e-06,5.5,50.0,404901.0
